flow_id,iat,packet_length,direction,dhcp_msg_type
0,0.0,342,0,1
0,2.0165059566497803,590,1,2
0,0.00027298927307128906,342,0,3
0,0.008782148361206055,590,1,5
1,0.0,346,0,1
1,0.005751132965087891,361,1,2
1,0.010751008987426758,346,0,3
1,0.006250858306884766,361,1,5
2,0.0,395,0,1
2,2.0010218620300293,354,1,2
2,0.0011534690856933594,402,0,3
2,0.0014102458953857422,354,1,5
3,0.0,344,0,1
3,1.0056350231170654,351,1,2
3,0.0002932548522949219,356,0,3
3,0.0037195682525634766,351,1,5
4,0.0,594,0,1
4,0.02250814437866211,364,1,2
4,0.0010395050048828125,594,0,3
4,3.0038700103759766,594,0,3
4,0.22653675079345703,364,1,5
5,0.0,343,0,1
5,0.07264304161071777,590,1,2
5,0.0010819435119628906,368,0,3
5,0.0992891788482666,590,1,5
6,0.0,343,0,1
6,0.03433799743652344,590,1,2
6,0.0009961128234863281,368,0,3
6,0.14824795722961426,590,1,5
7,0.0,343,0,1
7,0.07016897201538086,590,1,2
7,0.001332998275756836,368,0,3
7,0.10779809951782227,590,1,5
8,0.0,343,0,1
8,0.0687870979309082,590,1,2
8,0.0008549690246582031,368,0,3
8,0.1304481029510498,590,1,5
9,0.0,343,0,1
9,0.0665440559387207,590,1,2
9,0.0012941360473632812,368,0,3
9,0.1284480094909668,590,1,5
10,0.0,343,0,1
10,0.03753995895385742,590,1,2
10,0.0013730525970458984,368,0,3
10,0.11778807640075684,590,1,5
