flow_id,iat,packet_length,direction,dns_type
0,0.0,68,0,0
0,0.010355949401855469,84,1,1
1,0.0,86,0,0
1,0.011634111404418945,119,1,1
2,0.0,86,0,0
2,0.0035619735717773438,119,1,1
3,0.0,68,0,0
3,0.009886980056762695,96,1,1
4,0.0,132,0,0
4,0.012717962265014648,165,1,1
5,0.0,132,0,0
5,0.005615949630737305,165,1,1
6,0.0,132,0,0
6,0.006020069122314453,165,1,1
7,0.0,78,0,0
7,0.002171039581298828,94,1,1
8,0.0,78,0,0
8,0.02285599708557129,94,1,1
9,0.0,78,0,0
9,0.0073320865631103516,94,1,1
10,0.0,78,0,0
10,0.002061128616333008,94,1,1
11,0.0,78,0,0
11,0.008069038391113281,94,1,1
12,0.0,78,0,0
12,0.014364957809448242,94,1,1
13,0.0,78,0,0
13,0.013901948928833008,94,1,1
14,0.0,78,0,0
14,0.029829025268554688,94,1,1
15,0.0,78,0,0
15,0.030244112014770508,94,1,1
16,0.0,78,0,0
16,0.01486515998840332,94,1,1
17,0.0,78,0,0
17,0.014213085174560547,94,1,1
18,0.0,78,0,0
18,0.014725923538208008,94,1,1
19,0.0,78,0,0
19,0.030933141708374023,94,1,1
20,0.0,78,0,0
20,0.014301061630249023,94,1,1
21,0.0,78,0,0
21,0.026860952377319336,94,1,1
22,0.0,74,0,0
22,0.0035169124603271484,198,1,1
23,0.0,74,0,0
23,0.0034949779510498047,198,1,1
24,0.0,74,0,0
24,0.0037000179290771484,198,1,1
25,0.0,74,0,0
25,0.003152132034301758,198,1,1
26,0.0,74,0,0
26,0.0037240982055664062,198,1,1
27,0.0,74,0,0
27,0.0032591819763183594,198,1,1
28,0.0,74,0,0
28,0.003371000289916992,198,1,1
29,0.0,74,0,0
29,0.003275156021118164,198,1,1
30,0.0,74,0,0
30,0.0033588409423828125,198,1,1
31,0.0,74,0,0
31,0.0032989978790283203,198,1,1
32,0.0,75,0,0
32,0.0003228187561035156,199,1,1
33,0.0,75,0,0
33,0.00021195411682128906,125,1,1
34,0.0,121,0,0
34,0.0005009174346923828,71,1,1
35,0.0,82,0,0
35,0.003947019577026367,224,1,1
36,0.0,147,0,0
36,0.008192062377929688,1476,1,1
37,0.0,75,0,0
37,0.00034308433532714844,167,1,1
38,0.0,87,0,0
38,0.04489493370056152,147,1,1
