flow_id,iat,packet_length,direction,tcp_flags
0,0,68,bwd,NONE
0,0.010355949401855469,84,fwd,NONE
1,0,86,bwd,NONE
1,0.011634111404418945,119,fwd,NONE
2,0,86,bwd,NONE
2,0.0035619735717773438,119,fwd,NONE
3,0,68,bwd,NONE
3,0.009886980056762695,96,fwd,NONE
4,0,132,bwd,NONE
4,0.012717962265014648,165,fwd,NONE
5,0,132,bwd,NONE
5,0.005615949630737305,165,fwd,NONE
6,0,132,bwd,NONE
6,0.006020069122314453,165,fwd,NONE
7,0,78,fwd,NONE
7,0.002171039581298828,94,bwd,NONE
8,0,78,fwd,NONE
8,0.02285599708557129,94,bwd,NONE
9,0,78,fwd,NONE
9,0.0073320865631103516,94,bwd,NONE
10,0,78,fwd,NONE
10,0.002061128616333008,94,bwd,NONE
11,0,78,fwd,NONE
11,0.008069038391113281,94,bwd,NONE
12,0,78,fwd,NONE
12,0.014364957809448242,94,bwd,NONE
13,0,78,fwd,NONE
13,0.013901948928833008,94,bwd,NONE
14,0,78,fwd,NONE
14,0.029829025268554688,94,bwd,NONE
15,0,78,fwd,NONE
15,0.030244112014770508,94,bwd,NONE
16,0,78,fwd,NONE
16,0.01486515998840332,94,bwd,NONE
17,0,78,fwd,NONE
17,0.014213085174560547,94,bwd,NONE
18,0,78,fwd,NONE
18,0.014725923538208008,94,bwd,NONE
19,0,78,fwd,NONE
19,0.030933141708374023,94,bwd,NONE
20,0,78,fwd,NONE
20,0.014301061630249023,94,bwd,NONE
21,0,78,fwd,NONE
21,0.026860952377319336,94,bwd,NONE
22,0,74,fwd,NONE
22,0.0035169124603271484,198,bwd,NONE
23,0,74,fwd,NONE
23,0.0034949779510498047,198,bwd,NONE
24,0,74,fwd,NONE
24,0.0037000179290771484,198,bwd,NONE
25,0,74,fwd,NONE
25,0.003152132034301758,198,bwd,NONE
26,0,74,fwd,NONE
26,0.0037240982055664062,198,bwd,NONE
27,0,74,fwd,NONE
27,0.0032591819763183594,198,bwd,NONE
28,0,74,fwd,NONE
28,0.003371000289916992,198,bwd,NONE
29,0,74,fwd,NONE
29,0.003275156021118164,198,bwd,NONE
30,0,74,fwd,NONE
30,0.0033588409423828125,198,bwd,NONE
31,0,74,fwd,NONE
31,0.0032989978790283203,198,bwd,NONE
32,0,75,bwd,NONE
32,0.0003228187561035156,199,fwd,NONE
33,0,75,bwd,NONE
33,0.00021195411682128906,125,fwd,NONE
34,0,121,fwd,NONE
34,0.0005009174346923828,71,bwd,NONE
35,0,82,bwd,NONE
35,0.003947019577026367,224,fwd,NONE
36,0,147,bwd,PA
36,0.008192062377929688,1476,fwd,PA
37,0,75,bwd,NONE
37,0.00034308433532714844,167,fwd,NONE
38,0,87,fwd,NONE
38,0.04489493370056152,147,bwd,NONE
39,0,75,fwd,NONE
39,1.0967254638671875e-05,75,fwd,NONE
39,0.04224205017089844,91,bwd,NONE
39,4.9622039794921875,75,fwd,NONE
39,0.05066800117492676,91,bwd,NONE
39,9.202957153320312e-05,75,fwd,NONE
39,0.04874110221862793,103,bwd,NONE
40,0,97,bwd,NONE
40,0.00030112266540527344,862,fwd,NONE
41,0,97,bwd,NONE
41,0.0003600120544433594,862,fwd,NONE
42,0,82,bwd,NONE
42,0.00026416778564453125,976,fwd,NONE
43,0,108,fwd,PA
43,0.0034580230712890625,108,bwd,PA
44,0,108,bwd,PA
44,0.010364055633544922,904,fwd,PA
45,0,201,fwd,NONE
45,0.0006508827209472656,151,bwd,NONE
46,0,162,bwd,NONE
46,0.004661083221435547,304,fwd,NONE
47,0,227,bwd,PA
47,0.00624394416809082,1488,fwd,PA
48,0,82,bwd,NONE
48,0.0012631416320800781,152,fwd,NONE
49,0,82,bwd,NONE
49,2.9984660148620605,82,bwd,NONE
49,2.999966859817505,82,bwd,NONE
49,2.9999630451202393,82,bwd,NONE
50,0,82,bwd,NONE
50,2.9983439445495605,82,bwd,NONE
50,3.000098943710327,82,bwd,NONE
50,2.9999630451202393,82,bwd,NONE
51,0,82,bwd,NONE
51,2.997967004776001,82,bwd,NONE
51,2.999986171722412,82,bwd,NONE
51,3.0009448528289795,82,bwd,NONE
52,0,82,bwd,NONE
52,0.0012519359588623047,152,fwd,NONE
53,0,82,bwd,NONE
53,0.001001119613647461,152,fwd,NONE
54,0,100,bwd,NONE
54,0.0011219978332519531,182,fwd,NONE
55,0,86,fwd,NONE
55,0.09372091293334961,228,bwd,NONE
56,0,102,bwd,NONE
56,0.0007572174072265625,161,fwd,NONE
57,0,102,bwd,NONE
57,0.0012519359588623047,269,fwd,NONE
58,0,102,bwd,NONE
58,0.001241922378540039,172,fwd,NONE
59,0,102,bwd,NONE
59,0.0012509822845458984,184,fwd,NONE
60,0,105,fwd,NONE
60,0.36719393730163574,580,bwd,NONE
61,0,85,fwd,NONE
61,0.010198831558227539,460,bwd,NONE
62,0,79,fwd,NONE
62,0.004639863967895508,503,bwd,NONE
63,0,93,fwd,PA
63,0.0044100284576416016,813,bwd,PA
64,0,99,bwd,NONE
64,0.09571599960327148,563,fwd,NONE
65,0,113,bwd,PA
65,0.0968618392944336,1280,fwd,PA
66,0,108,bwd,NONE
66,0.016952037811279297,508,fwd,NONE
67,0,122,bwd,PA
67,0.018163204193115234,690,fwd,PA
68,0,106,fwd,NONE
68,0.2846050262451172,428,bwd,NONE
69,0,86,fwd,NONE
69,0.02025294303894043,544,bwd,NONE
70,0,100,fwd,PA
70,0.01915884017944336,753,bwd,PA
71,0,86,fwd,NONE
71,0.009440898895263672,244,bwd,NONE
72,0,111,bwd,NONE
72,0.005482912063598633,571,fwd,NONE
73,0,111,bwd,NONE
73,0.0064029693603515625,571,fwd,NONE
74,0,112,bwd,NONE
74,0.2644350528717041,112,fwd,NONE
75,0,112,bwd,NONE
75,0.2581620216369629,112,fwd,NONE
76,0,94,fwd,NONE
76,0.011341094970703125,467,bwd,NONE
77,0,94,fwd,NONE
77,0.011888980865478516,467,bwd,NONE
78,0,102,bwd,NONE
78,0.006247997283935547,497,fwd,NONE
79,0,125,bwd,PA
79,0.004915952682495117,880,fwd,PA
80,0,125,bwd,PA
80,0.006371021270751953,880,fwd,PA
81,0,111,fwd,NONE
81,0.01215505599975586,397,bwd,NONE
82,0,111,fwd,NONE
82,0.01134800910949707,409,bwd,NONE
83,0,116,bwd,PA
83,0.0075531005859375,837,fwd,PA
84,0,120,fwd,PA
84,0.010309934616088867,913,bwd,PA
85,0,120,fwd,PA
85,0.011658906936645508,913,bwd,PA
86,0,90,fwd,NONE
86,0.004548072814941406,223,bwd,NONE
87,0,114,fwd,NONE
87,0.14632177352905273,400,bwd,NONE
88,0,114,fwd,NONE
88,0.14389491081237793,412,bwd,NONE
89,0,91,fwd,NONE
89,0.16435623168945312,107,bwd,NONE
90,0,91,fwd,NONE
90,0.16878294944763184,119,bwd,NONE
91,0,91,fwd,NONE
91,0.17076802253723145,107,bwd,NONE
92,0,91,fwd,NONE
92,0.16458797454833984,119,bwd,NONE
93,0,91,fwd,NONE
93,0.17085886001586914,107,bwd,NONE
94,0,91,fwd,NONE
94,0.16521000862121582,119,bwd,NONE
95,0,91,fwd,NONE
95,0.17188811302185059,107,bwd,NONE
96,0,91,fwd,NONE
96,0.167496919631958,119,bwd,NONE
97,0,90,bwd,NONE
97,0.004583120346069336,125,fwd,NONE
98,0,103,fwd,NONE
98,0.0027260780334472656,240,bwd,NONE
99,0,91,fwd,NONE
99,0.09374380111694336,551,bwd,NONE
100,0,91,fwd,NONE
100,0.09287786483764648,551,bwd,NONE
101,0,91,fwd,NONE
101,0.09541702270507812,550,bwd,NONE
102,0,91,fwd,NONE
102,0.09423303604125977,550,bwd,NONE
103,0,114,fwd,NONE
103,0.011074066162109375,400,bwd,NONE
104,0,114,fwd,NONE
104,0.012060165405273438,412,bwd,NONE
105,0,112,bwd,NONE
105,0.25223493576049805,112,fwd,NONE
106,0,112,bwd,NONE
106,0.2738320827484131,112,fwd,NONE
107,0,103,fwd,NONE
107,0.003983974456787109,368,bwd,NONE
108,0,105,fwd,PA
108,0.09412717819213867,860,bwd,PA
109,0,105,fwd,PA
109,0.09265494346618652,859,bwd,PA
110,0,105,fwd,PA
110,0.09534502029418945,859,bwd,PA
111,0,105,fwd,PA
111,0.09610700607299805,860,bwd,PA
112,0,111,fwd,NONE
112,0.006906032562255859,408,bwd,NONE
113,0,91,fwd,NONE
113,0.014390945434570312,389,bwd,NONE
114,0,111,fwd,NONE
114,0.005437135696411133,396,bwd,NONE
115,0,91,fwd,NONE
115,0.012253999710083008,377,bwd,NONE
116,0,138,bwd,PA
116,0.2454080581665039,901,fwd,PA
117,0,138,bwd,PA
