src_ip,dst_ip,src_port,dst_port,flow_duration,packet_count,total_bytes,avg_packet_size
192.168.110.9,80.154.108.235,50477,443,0.03172534047161665,2.8903717578961645,8.653121708640482,5.822697766671844
216.66.80.30,193.24.227.12,60074,443,0.8960166132096226,3.2188758248682006,8.977398978181862,5.802244248622871
216.66.80.30,193.24.227.12,60077,443,0.9031831604441279,3.295836866004329,9.011523512653032,5.7564722294363415
216.66.80.30,193.24.227.12,46190,443,0.5893011708570802,3.044522437723423,8.792093929503284,5.79924415813478
84.139.95.163,193.24.227.248,50912,443,2.054949415290497,3.1780538303479458,9.036938912556787,5.904057835066752
157.55.39.6,193.24.227.248,12176,443,0.7943482259032565,2.995732273553991,8.796490207333578,5.854770263074951
66.249.75.129,193.24.227.248,56372,443,1.867542333451456,3.2188758248682006,8.892473968347087,5.717575796788537
66.249.75.132,193.24.227.248,40925,443,1.9123332613795017,3.2188758248682006,9.034676602846295,5.859360706474645
138.246.253.15,193.24.227.248,33054,443,0.4584319871569457,3.1780538303479458,8.809713540508268,5.677498016040816
192.168.7.35,99.84.156.9,63591,443,0.19886632065675916,2.995732273553991,8.926118971153382,5.984068845146853
192.168.7.35,52.32.14.183,63592,443,0.7296680224773666,2.8903717578961645,8.758726607842037,5.928023462781973
192.168.7.35,52.109.32.27,63594,443,0.6348774975752872,3.7612001156935624,10.358218901947211,6.621849405931612
84.139.82.148,194.247.5.27,64303,443,0.15628300041347928,3.367295829986474,9.003562174748238,5.674672381253596
84.139.82.148,194.247.5.27,15207,443,0.2563562239011192,3.4011973816621555,9.010669176847115,5.646786319456881
192.168.173.5,194.247.5.23,58486,443,1.670968495813712,3.2188758248682006,9.284148299120902,6.108228545203395
