flow_id,iat,packet_length,direction,icmp_type
0,0.0,114,0,8
0,0.015999794006347656,114,1,0
0,0.0,114,1,0
1,0.0,114,0,8
1,0.016000032424926758,114,1,0
1,0.0,114,1,0
2,0.0,114,0,8
2,0.016000032424926758,114,1,0
2,0.0,114,1,0
3,0.0,114,0,8
3,0.016000032424926758,114,1,0
3,0.0,114,1,0
4,0.0,114,0,8
4,0.015000104904174805,114,1,0
4,0.0,114,1,0
5,0.0,114,0,8
5,0.015000104904174805,114,1,0
5,0.0,114,1,0
6,0.0,114,0,8
6,0.015000104904174805,114,1,0
6,0.0,114,1,0
7,0.0,114,0,8
7,0.016000032424926758,114,1,0
7,0.0,114,1,0
8,0.0,114,0,8
8,0.016000032424926758,114,1,0
8,0.0,114,1,0
9,0.0,114,0,8
9,0.016000032424926758,114,1,0
9,0.0,114,1,0
10,0.0,98,0,8
10,0.0070989131927490234,98,1,0
11,0.0,98,0,8
11,0.008615970611572266,98,1,0
12,0.0,74,0,8
12,0.032501935958862305,74,1,0
12,0.002251148223876953,74,1,0
12,1.9073486328125e-06,74,1,0
12,0.0014979839324951172,74,1,0
12,0.0007519721984863281,74,1,0
12,0.001497030258178711,74,1,0
13,0.0,98,0,8
13,0.09026598930358887,98,1,0
14,0.0,98,0,8
14,0.1185150146484375,98,1,0
15,0.0,98,0,8
15,0.08776402473449707,98,1,0
16,0.0,98,0,8
16,0.03400397300720215,98,1,0
17,0.0,98,0,8
17,0.04612994194030762,98,1,0
18,0.0,98,0,8
18,0.10401606559753418,98,1,0
19,0.0,98,0,8
19,0.08851408958435059,98,1,0
20,0.0,98,0,8
20,0.10451292991638184,98,1,0
21,0.0,98,0,8
21,0.052512168884277344,98,1,0
22,0.0,74,0,8
22,0.0014979839324951172,74,1,0
22,0.001497030258178711,74,1,0
22,0.0011260509490966797,74,1,0
22,0.0013768672943115234,74,1,0
22,0.0012481212615966797,74,1,0
22,0.0009999275207519531,74,1,0
23,0.0,98,0,8
23,0.00698089599609375,98,1,0
24,0.0,98,0,8
24,0.007253885269165039,98,1,0
25,0.0,98,0,8
