flow_id,isup_session_id,sequence_id,message_type,isup_msg_type,stage,direction,msg_size,packet_length,iat,inter_arrival_time,cause_code,is_retransmission,attack_type
0,0,2,ANM,ANM,active,0,120,120,0.31160949820452766,0.31160949820452766,11,0,normal
1,1,2,ANM,ANM,active,0,211,211,0.28636850618616033,0.28636850618616033,7,0,normal
2,2,2,ANM,ANM,active,0,186,186,0.28937132236025714,0.28937132236025714,31,1,normal
3,3,2,ANM,ANM,active,0,103,103,0.0649830215725549,0.0649830215725549,16,1,normal
4,4,2,ANM,ANM,active,0,205,205,0.1579362498143643,0.1579362498143643,25,0,normal
5,5,2,ANM,ANM,active,0,204,204,0.05931920336317485,0.05931920336317485,27,0,normal
6,6,2,ANM,ANM,active,0,149,149,0.08085446197838439,0.08085446197838439,4,1,normal
7,7,2,ANM,ANM,active,0,162,162,0.14192194674960634,0.14192194674960634,9,0,normal
8,8,2,ANM,ANM,active,0,110,110,0.16509881561757853,0.16509881561757853,10,0,normal
9,9,2,ANM,ANM,active,0,158,158,0.11006371678097247,0.11006371678097247,25,1,normal
10,10,2,ANM,ANM,active,0,122,122,0.10262689255829552,0.10262689255829552,0,0,normal
11,11,2,ANM,ANM,active,0,105,105,0.15703964887368996,0.15703964887368996,1,1,normal
12,12,2,ANM,ANM,active,0,206,206,0.0875540071306856,0.0875540071306856,22,1,normal
13,13,2,ANM,ANM,active,0,151,151,0.0898646610507732,0.0898646610507732,13,0,normal
15,15,2,ANM,ANM,active,0,105,105,0.16583971101447692,0.16583971101447692,5,0,normal
16,16,2,ANM,ANM,active,0,175,175,0.01991486419769229,0.01991486419769229,23,1,normal
17,17,2,ANM,ANM,active,0,175,175,0.14813442953406608,0.14813442953406608,19,0,normal
18,18,2,ANM,ANM,active,0,179,179,0.08041911052831449,0.08041911052831449,24,0,normal
19,19,2,ANM,ANM,active,0,205,205,0.035866962263716155,0.035866962263716155,6,0,normal
20,20,2,ANM,ANM,active,0,123,123,0.25445360954004836,0.25445360954004836,0,0,normal
23,23,2,ANM,ANM,active,0,208,208,0.16729375494842663,0.16729375494842663,26,1,normal
24,24,2,ANM,ANM,active,0,128,128,0.0827365605824292,0.0827365605824292,23,1,normal
25,25,2,ANM,ANM,active,0,119,119,0.13740240260428987,0.13740240260428987,1,0,normal
26,26,2,ANM,ANM,active,0,100,100,0.11720306135906705,0.11720306135906705,4,0,normal
