flow_id,isup_session_id,sequence_id,message_type,isup_msg_type,stage,direction,msg_size,packet_length,iat,inter_arrival_time,cause_code,is_retransmission,attack_type
0,0,3,REL,REL,cleanup,1,192,192,0.3151995247835996,0.3151995247835996,30,1,normal
0,0,4,RLC,RLC,cleanup,1,101,101,0.35231027288423733,0.35231027288423733,27,1,normal
1,1,3,REL,REL,cleanup,1,144,144,0.2879685946419238,0.2879685946419238,31,1,normal
1,1,4,RLC,RLC,cleanup,1,150,150,0.31475614197696944,0.31475614197696944,22,1,normal
2,2,3,REL,REL,cleanup,1,164,164,0.4002570514231467,0.4002570514231467,30,0,normal
2,2,4,RLC,RLC,cleanup,1,178,178,0.4471078098444363,0.4471078098444363,3,1,normal
3,3,3,REL,REL,cleanup,1,162,162,0.10207768189645833,0.10207768189645833,6,1,normal
3,3,4,RLC,RLC,cleanup,1,200,200,0.14223781250990197,0.14223781250990197,30,1,normal
4,4,3,REL,REL,cleanup,1,118,118,0.1593354157584594,0.1593354157584594,5,0,normal
4,4,4,RLC,RLC,cleanup,1,184,184,0.1825185222340844,0.1825185222340844,3,0,normal
5,5,3,REL,REL,cleanup,1,110,110,0.16013403081094357,0.16013403081094357,29,0,normal
5,5,4,RLC,RLC,cleanup,1,168,168,0.23278886300195845,0.23278886300195845,7,1,normal
6,6,3,REL,REL,cleanup,1,215,215,0.08246989185519965,0.08246989185519965,24,0,normal
6,6,4,RLC,RLC,cleanup,1,106,106,0.1817884255328301,0.1817884255328301,15,1,normal
7,7,3,REL,REL,cleanup,1,196,196,0.24537917312365132,0.24537917312365132,25,0,normal
7,7,4,RLC,RLC,cleanup,1,130,130,0.2776702394835446,0.2776702394835446,28,0,normal
8,8,3,REL,REL,cleanup,1,123,123,0.26658407593107436,0.26658407593107436,10,1,normal
8,8,4,RLC,RLC,cleanup,1,107,107,0.275285567580278,0.275285567580278,31,1,normal
9,9,3,REL,REL,cleanup,1,154,154,0.11216892389215474,0.11216892389215474,10,0,normal
9,9,4,RLC,RLC,cleanup,1,107,107,0.12401536447531411,0.12401536447531411,23,1,normal
10,10,3,REL,REL,cleanup,1,149,149,0.12590850022193803,0.12590850022193803,26,1,normal
10,10,4,RLC,RLC,cleanup,1,142,142,0.13838178948146287,0.13838178948146287,9,1,normal
11,11,3,REL,REL,cleanup,1,122,122,0.32926202941745353,0.32926202941745353,4,0,normal
11,11,4,RLC,RLC,cleanup,1,211,211,0.40067271355175815,0.40067271355175815,25,1,normal
12,12,3,REL,REL,cleanup,1,134,134,0.1014296215686264,0.1014296215686264,21,0,normal
12,12,4,RLC,RLC,cleanup,1,148,148,0.23851618551939077,0.23851618551939077,4,0,normal
13,13,3,REL,REL,cleanup,1,127,127,0.09271463849229832,0.09271463849229832,13,0,normal
13,13,4,RLC,RLC,cleanup,1,203,203,0.14973234140115105,0.14973234140115105,0,1,normal
14,14,2,REL,REL,cleanup,1,164,164,0.14059581113879846,0.14059581113879846,5,1,missing_anm
14,14,3,RLC,RLC,cleanup,1,161,161,0.14487325956301428,0.14487325956301428,12,0,missing_anm
15,15,3,REL,REL,cleanup,1,167,167,0.18380621454452317,0.18380621454452317,14,0,normal
15,15,4,RLC,RLC,cleanup,1,203,203,0.26389762888045953,0.26389762888045953,31,0,normal
16,16,3,REL,REL,cleanup,1,212,212,0.02755895941212841,0.02755895941212841,27,1,normal
16,16,4,RLC,RLC,cleanup,1,108,108,0.0695932239747048,0.0695932239747048,17,0,normal
17,17,3,REL,REL,cleanup,1,196,196,0.19558752762566312,0.19558752762566312,3,0,normal
17,17,4,RLC,RLC,cleanup,1,175,175,0.1981623554858381,0.1981623554858381,8,0,normal
18,18,3,REL,REL,cleanup,1,129,129,0.10625533229777809,0.10625533229777809,21,1,normal
18,18,4,RLC,RLC,cleanup,1,164,164,0.10819853690888327,0.10819853690888327,30,1,normal
19,19,3,REL,REL,cleanup,1,123,123,0.062480130116435134,0.062480130116435134,8,1,normal
19,19,4,RLC,RLC,cleanup,1,166,166,0.3265097671141859,0.3265097671141859,5,1,normal
20,20,3,REL,REL,cleanup,1,211,211,0.3032481473579838,0.3032481473579838,1,1,normal
20,20,4,RLC,RLC,cleanup,1,208,208,0.35375474905506055,0.35375474905506055,15,0,normal
22,22,1,REL,REL,cleanup,1,137,137,0.02507186410095173,0.02507186410095173,8,1,fast_release
22,22,2,RLC,RLC,cleanup,1,171,171,0.08780489486886413,0.08780489486886413,29,0,fast_release
23,23,3,REL,REL,cleanup,1,120,120,0.16931948156852014,0.16931948156852014,13,1,normal
23,23,4,RLC,RLC,cleanup,1,130,130,0.2293234075765977,0.2293234075765977,25,0,normal
24,24,3,REL,REL,cleanup,1,149,149,0.19298766217452104,0.19298766217452104,4,1,normal
24,24,4,RLC,RLC,cleanup,1,102,102,0.1989183280739694,0.1989183280739694,0,1,normal
25,25,3,REL,REL,cleanup,1,127,127,0.21135422128074252,0.21135422128074252,22,0,normal
25,25,4,RLC,RLC,cleanup,1,109,109,0.23044534328623859,0.23044534328623859,22,0,normal
26,26,3,REL,REL,cleanup,1,212,212,0.12699539812809427,0.12699539812809427,21,1,normal
26,26,4,RLC,RLC,cleanup,1,114,114,0.22801576866559076,0.22801576866559076,1,0,normal
27,27,2,REL,REL,cleanup,1,170,170,0.029463371033614398,0.029463371033614398,9,1,missing_anm
27,27,3,RLC,RLC,cleanup,1,127,127,0.03832673660928604,0.03832673660928604,28,1,missing_anm
28,28,3,REL,REL,cleanup,1,190,190,0.09951506120516743,0.09951506120516743,15,1,normal
28,28,4,RLC,RLC,cleanup,1,133,133,0.11140555217005121,0.11140555217005121,18,0,normal
29,29,3,REL,REL,cleanup,1,140,140,0.21611503749380356,0.21611503749380356,30,0,normal
29,29,4,RLC,RLC,cleanup,1,195,195,0.2790243216161019,0.2790243216161019,31,1,normal
30,30,3,REL,REL,cleanup,1,215,215,0.16034531276134076,0.16034531276134076,18,0,normal
30,30,4,RLC,RLC,cleanup,1,137,137,0.16949877719866832,0.16949877719866832,23,1,normal
31,31,2,REL,REL,cleanup,1,129,129,0.3895834177448316,0.3895834177448316,13,1,missing_anm
31,31,3,RLC,RLC,cleanup,1,172,172,0.4315724063690213,0.4315724063690213,10,0,missing_anm
32,32,3,REL,REL,cleanup,1,105,105,0.3522707600423795,0.3522707600423795,26,1,normal
32,32,4,RLC,RLC,cleanup,1,138,138,0.40048349644154946,0.40048349644154946,16,0,normal
33,33,3,REL,REL,cleanup,1,112,112,0.05286774585847283,0.05286774585847283,17,1,normal
33,33,4,RLC,RLC,cleanup,1,106,106,0.05348492318372822,0.05348492318372822,9,0,normal
34,34,2,REL,REL,cleanup,1,185,185,0.1179845082543155,0.1179845082543155,22,0,missing_anm
34,34,3,RLC,RLC,cleanup,1,162,162,0.1350358044962667,0.1350358044962667,2,0,missing_anm
35,35,3,REL,REL,cleanup,1,190,190,0.030009992528014954,0.030009992528014954,17,0,normal
