flow_id,isup_msg_type,direction,packet_length,iat
0,IAM,0,108,0.0
0,ACM,0,152,0.04098273423340664
0,ANM,0,184,0.20639520025905428
0,REL,1,137,0.36566893723003274
0,RLC,1,187,0.42831912079472995
1,IAM,0,177,0.0
1,ACM,0,207,0.018657594801599217
1,ANM,0,175,0.03719688469122816
1,REL,1,197,0.037444754537950375
1,RLC,1,132,0.04265477110666022
2,IAM,0,170,0.0
2,ACM,0,180,0.09878159923408164
2,ANM,0,164,0.14085141703093013
2,REL,1,194,0.15776798809266027
2,RLC,1,201,0.1595470968712575
3,IAM,0,109,0.0
3,ACM,0,216,0.0452609158779467
3,ANM,0,189,0.06893004750169572
3,REL,1,125,0.09007112023929449
3,RLC,1,193,0.26226909684988015
4,IAM,0,241,0.0
4,ACM,0,148,0.09373022329940717
4,REL,1,123,0.11569140394627728
4,RLC,1,131,0.12346007602006841
5,IAM,0,198,0.0
5,ACM,0,172,0.1434469763513825
5,REL,1,150,0.1609829644534953
5,RLC,1,120,0.1721118444771944
6,IAM,0,120,0.0
6,ACM,0,206,0.1350423702184052
6,ANM,0,140,0.14035712733415398
6,REL,1,212,0.27554902085467103
6,RLC,1,176,0.4409802262295567
7,IAM,0,149,0.0
7,ACM,0,208,0.01178839798180944
7,ANM,0,175,0.03551288022616922
7,REL,1,127,0.05894204768080362
7,RLC,1,129,0.15769195978444117
8,IAM,0,227,0.0
8,REL,1,109,0.10569081766763876
8,RLC,1,163,0.1418571799027571
9,IAM,0,171,0.0
9,ACM,0,208,0.047353507379003394
9,ANM,0,216,0.2166345092303123
9,REL,1,201,0.24848786392746122
9,RLC,1,216,0.2508985020624773
10,IAM,0,189,0.0
10,ACM,0,172,0.13771379250735413
10,ANM,0,130,0.13854900055511582
10,REL,1,157,0.20441889111467554
10,RLC,1,199,0.3239623174682391
11,IAM,0,117,0.0
11,ACM,0,140,0.15743941077356371
11,ANM,0,176,0.20892402423064096
11,REL,1,102,0.2554309460451209
11,RLC,1,185,0.276350380868164
12,IAM,0,143,0.0
12,ACM,0,165,0.25851581183994016
12,REL,1,133,0.300671516921042
12,RLC,1,111,0.5076699529498673
13,IAM,0,150,0.0
13,ACM,0,199,0.1254242063772582
13,ANM,0,176,0.15374698661852598
13,REL,1,199,0.22236056485918554
13,RLC,1,217,0.24779893067723935
14,IAM,0,146,0.0
14,ACM,0,220,0.0762948901361013
14,ANM,0,202,0.11825107334452507
14,REL,1,167,0.12007619211100917
14,RLC,1,118,0.15316490655359832
15,IAM,0,150,0.0
15,ACM,0,101,0.06586532199455121
15,ANM,0,129,0.08647617151096479
15,REL,1,121,0.10018680736950189
15,RLC,1,163,0.1498933170505925
16,IAM,0,111,0.0
16,IAM,0,111,0.013725216281823079
16,IAM,0,133,0.01427163985140595
16,IAM,0,123,0.023125983889198627
16,IAM,0,79,0.03616773221601316
16,IAM,0,98,0.04229264849582985
16,IAM,0,81,0.04664419726349507
16,IAM,0,124,0.06464310071262405
17,IAM,0,206,0.0
17,ACM,0,120,0.1326556570764741
17,ANM,0,125,0.1668415375592011
17,REL,1,193,0.1816546479383645
17,RLC,1,182,0.2518971203270122
18,IAM,0,137,0.0
18,ACM,0,178,0.07606569733965962
18,ANM,0,126,0.08743360215783054
18,REL,1,163,0.14007463330716857
18,RLC,1,149,0.22819221835414155
19,IAM,0,240,0.0
19,ACM,0,93,0.17957012007379328
19,REL,1,149,0.18271174513190577
19,RLC,1,144,0.19138147783918297
20,IAM,0,191,0.0
20,ACM,0,140,0.01286659727143856
20,ANM,0,105,0.03412184189256337
20,REL,1,116,0.03468054994682443
20,RLC,1,135,0.05276716974843981
21,IAM,0,183,0.0
21,ACM,0,196,0.1279809030557174
21,ANM,0,215,0.15661544303528488
21,REL,1,211,0.19728185408402343
21,RLC,1,128,0.24559462550692077
22,IAM,0,157,0.0
22,ACM,0,147,0.14559729212266462
22,ANM,0,108,0.1562118172986708
22,REL,1,102,0.15969904783813382
22,RLC,1,151,0.20398510498871086
23,IAM,0,179,0.0
23,ACM,0,110,0.06699677064369892
23,ANM,0,194,0.12574272253388902
23,REL,1,186,0.12847413371317784
23,RLC,1,116,0.13675136475162078
24,IAM,0,223,0.0
24,ACM,0,115,0.04530404958527234
24,REL,1,110,0.1059426492517408
24,RLC,1,126,0.21483411014244352
25,IAM,0,118,0.0
25,ACM,0,148,0.0797296499910803
25,ANM,0,185,0.08575115802050057
25,REL,1,165,0.14090308995427986
25,RLC,1,104,0.14954365621734933
26,IAM,0,119,0.0
26,ACM,0,108,0.025908886188031804
26,ANM,0,129,0.12497097382509693
26,REL,1,133,0.1434208744823368
26,RLC,1,179,0.17881177993797978
27,IAM,0,126,0.0
27,ACM,0,157,0.08769924013520433
27,ANM,0,201,0.09115665303826949
27,REL,1,206,0.14188426966810874
27,RLC,1,181,0.1469589311021263
28,IAM,0,140,0.0
28,REL,1,182,0.11684205162385072
28,RLC,1,108,0.13594711894797634
29,IAM,0,178,0.0
29,ACM,0,155,0.10455302170710165
29,ANM,0,179,0.201764937305045
29,REL,1,215,0.22056520716327804
29,RLC,1,158,0.2370539265210923
30,IAM,0,172,0.0
30,ACM,0,214,0.018746242885867893
30,ANM,0,110,0.09070222240224889
30,REL,1,154,0.16003900243084573
30,RLC,1,214,0.2063752649125482
31,IAM,0,237,0.0
31,ACM,0,177,0.023230852324727956
31,REL,1,125,0.13655366746589204
31,RLC,1,114,0.15796300911069786
32,IAM,0,128,0.0
32,ACM,0,183,0.064372483279568
32,ANM,0,216,0.07001073130524603
32,REL,1,115,0.09090266313765062
32,RLC,1,154,0.11001274427844177
33,IAM,0,210,0.0
33,ACM,0,186,0.16198710531557187
33,ANM,0,103,0.2326347884507387
33,REL,1,120,0.28001766591034927
33,RLC,1,194,0.29159663218704945
34,IAM,0,180,0.0
34,ACM,0,190,0.06218210318071393
34,ANM,0,103,0.06891235898960146
34,REL,1,141,0.131625899328356
34,RLC,1,131,0.13470562500656985
35,IAM,0,140,0.0
35,ACM,0,185,0.1521083174690063
35,REL,1,178,0.2146334440415043
35,RLC,1,96,0.2611009127154493
36,IAM,0,220,0.0
36,ACM,0,173,0.05671824636597351
36,REL,1,171,0.06368968885062345
36,RLC,1,100,0.06518728571071147
37,IAM,0,140,0.0
37,ACM,0,192,0.05212884208170419
37,ANM,0,105,0.06480080221346657
37,REL,1,192,0.12163676252951655
37,RLC,1,189,0.1588509856208517
38,IAM,0,195,0.0
38,ACM,0,190,0.03241330352013977
38,ANM,0,153,0.15972668831226394
38,REL,1,190,0.17011500691323067
38,RLC,1,183,0.19639390891575517
39,IAM,0,136,0.0
39,ACM,0,125,0.1205639828076355
39,ANM,0,151,0.12751641381631054
39,REL,1,122,0.13124414556374986
39,RLC,1,156,0.13520087432231087
40,IAM,0,200,0.0
40,REL,1,176,0.029536760437945613
40,RLC,1,184,0.05589954220272575
41,IAM,0,101,0.0
41,ACM,0,220,0.05554368881575665
41,ANM,0,214,0.16911210639515784
41,REL,1,133,0.19989811066452035
41,RLC,1,151,0.28408552776041585
42,IAM,0,165,0.0
42,ACM,0,118,0.10159482737349737
42,ANM,0,128,0.10607592721292856
42,REL,1,194,0.10954066435401663
42,RLC,1,110,0.11537889847833076
43,IAM,0,190,0.0
43,ACM,0,163,0.015290753660604093
43,ANM,0,144,0.038438693639816876
43,REL,1,197,0.08000274360138303
43,RLC,1,215,0.11441445062280849
44,IAM,0,113,0.0
44,ACM,0,180,0.020514327665316048
44,ANM,0,183,0.030142375087941466
44,REL,1,215,0.05961439305037454
44,RLC,1,112,0.1302939606709032
45,IAM,0,158,0.0
45,ACM,0,111,0.015869339044696118
45,REL,1,148,0.0779968706162407
45,RLC,1,132,0.11371503538500283
46,IAM,0,179,0.0
46,ACM,0,163,0.020178648285713436
46,ANM,0,129,0.021894057644167193
46,REL,1,150,0.07811571187035021
46,RLC,1,139,0.10958661094651656
47,IAM,0,233,0.0
47,REL,1,104,0.030261904935911032
47,RLC,1,183,0.09222953848569657
48,IAM,0,196,0.0
48,ACM,0,148,0.014860453334330934
48,ANM,0,102,0.04998221008421968
48,REL,1,202,0.05897767936272044
48,RLC,1,203,0.08680434431600817
49,IAM,0,126,0.0
49,ACM,0,160,0.2111021254194732
49,ANM,0,161,0.24211694217440266
49,REL,1,189,0.28628143446062976
49,RLC,1,164,0.2896112727950282
50,IAM,0,157,0.0
50,ACM,0,108,0.15446384373195066
50,ANM,0,195,0.22357815345775228
50,REL,1,197,0.24141046503300712
50,RLC,1,197,0.30069183211318845
51,IAM,0,151,0.0
51,ACM,0,117,0.022646187323877232
51,ANM,0,105,0.05104278808740623
51,REL,1,105,0.09551093417762327
51,RLC,1,161,0.22714715354822232
52,IAM,0,174,0.0
52,ACM,0,190,0.06045033872349929
52,ANM,0,136,0.11292032758558031
52,REL,1,208,0.13733768043355282
52,RLC,1,179,0.1435650236746802
53,IAM,0,213,0.0
53,ACM,0,123,0.1600557494817139
53,ANM,0,178,0.2584876563950961
53,REL,1,102,0.27117289246727033
53,RLC,1,189,0.3923358228472302
54,IAM,0,169,0.0
54,ACM,0,149,0.08070458482853721
54,ANM,0,217,0.10920119393118685
54,REL,1,109,0.15542494074524374
54,RLC,1,122,0.15693569067159488
55,IAM,0,137,0.0
55,ACM,0,132,0.0413900606992342
55,ANM,0,206,0.06184794367827322
55,REL,1,125,0.07958797138638521
55,RLC,1,166,0.10572654874863427
56,IAM,0,218,0.0
56,ACM,0,126,0.030820429478191698
56,ANM,0,100,0.08330191803023668
56,REL,1,206,0.14687857887831546
56,RLC,1,154,0.16206629713669216
57,IAM,0,165,0.0
57,ACM,0,154,0.07464332667332155
57,ANM,0,210,0.1292973813210994
57,REL,1,190,0.15914046834095164
57,RLC,1,215,0.1649834002563632
58,IAM,0,201,0.0
58,ACM,0,204,0.024211037333848266
58,ANM,0,169,0.03318190649610557
58,REL,1,144,0.07181511432689533
58,RLC,1,206,0.09250512443298788
59,IAM,0,110,0.0
59,ACM,0,174,0.017684946371331108
59,ANM,0,113,0.03256348152539411
59,REL,1,203,0.038561775016161176
59,RLC,1,167,0.11396398026499548
60,IAM,0,233,0.0
60,ACM,0,148,0.09631490104138997
60,REL,1,155,0.13658137416823524
60,RLC,1,109,0.3066447395772029
61,IAM,0,116,0.0
61,ACM,0,198,0.0695534960908037
61,ANM,0,148,0.10080841921486136
61,REL,1,155,0.1726996691967856
61,RLC,1,143,0.23312628843347727
62,IAM,0,209,0.0
62,ACM,0,130,0.14646405745019275
62,ANM,0,194,0.17461118409683896
62,REL,1,168,0.1832541031357552
62,RLC,1,101,0.22267181785997053
63,IAM,0,208,0.0
63,ACM,0,127,0.07633767157481257
63,ANM,0,120,0.10052381776886495
63,REL,1,160,0.11408350881215436
63,RLC,1,216,0.20262893914617697
64,IAM,0,197,0.0
64,ACM,0,108,0.07320113189674016
64,REL,1,138,0.11864157800441677
64,RLC,1,123,0.1489300091039707
65,IAM,0,161,0.0
65,ACM,0,162,0.10267549243768115
65,ANM,0,119,0.16490639473919183
65,REL,1,138,0.1649274143824855
65,RLC,1,122,0.17449716819869862
66,IAM,0,128,0.0
66,ACM,0,189,0.11766210394374155
