flow_id,isup_session_id,sequence_id,message_type,isup_msg_type,stage,direction,msg_size,packet_length,iat,inter_arrival_time,cause_code,is_retransmission,attack_type
0,0,0,IAM,IAM,setup,0,160,160,0.0,0.0,17,0,normal
0,0,1,ACM,ACM,setup,0,140,140,0.2104553799182931,0.2104553799182931,19,0,normal
1,1,0,IAM,IAM,setup,0,185,185,0.0,0.0,14,1,normal
1,1,1,ACM,ACM,setup,0,137,137,0.21083901696784135,0.21083901696784135,15,0,normal
2,2,0,IAM,IAM,setup,0,114,114,0.0,0.0,30,1,normal
2,2,1,ACM,ACM,setup,0,208,208,0.2522381282892729,0.2522381282892729,6,0,normal
3,3,0,IAM,IAM,setup,0,156,156,0.0,0.0,20,0,normal
3,3,1,ACM,ACM,setup,0,131,131,0.03996809761509919,0.03996809761509919,2,1,normal
4,4,0,IAM,IAM,setup,0,169,169,0.0,0.0,15,0,normal
4,4,1,ACM,ACM,setup,0,165,165,0.14807804728473517,0.14807804728473517,16,1,normal
5,5,0,IAM,IAM,setup,0,140,140,0.0,0.0,12,1,normal
5,5,1,ACM,ACM,setup,0,196,196,0.052657212455821514,0.052657212455821514,31,1,normal
6,6,0,IAM,IAM,setup,0,167,167,0.0,0.0,8,1,normal
6,6,1,ACM,ACM,setup,0,158,158,0.018472935244078198,0.018472935244078198,1,0,normal
7,7,0,IAM,IAM,setup,0,187,187,0.0,0.0,2,1,normal
7,7,1,ACM,ACM,setup,0,181,181,0.04959114086171583,0.04959114086171583,12,0,normal
8,8,0,IAM,IAM,setup,0,166,166,0.0,0.0,15,0,normal
8,8,1,ACM,ACM,setup,0,104,104,0.10444591899029348,0.10444591899029348,23,0,normal
9,9,0,IAM,IAM,setup,0,149,149,0.0,0.0,2,0,normal
9,9,1,ACM,ACM,setup,0,201,201,0.10954980081514003,0.10954980081514003,7,0,normal
10,10,0,IAM,IAM,setup,0,118,118,0.0,0.0,13,0,normal
10,10,1,ACM,ACM,setup,0,138,138,0.029987149279040344,0.029987149279040344,28,0,normal
11,11,0,IAM,IAM,setup,0,112,112,0.0,0.0,19,0,normal
11,11,1,ACM,ACM,setup,0,198,198,0.14044372343033443,0.14044372343033443,28,0,normal
12,12,0,IAM,IAM,setup,0,117,117,0.0,0.0,1,1,normal
12,12,1,ACM,ACM,setup,0,155,155,0.07035025608166418,0.07035025608166418,18,1,normal
13,13,0,IAM,IAM,setup,0,122,122,0.0,0.0,19,1,normal
13,13,1,ACM,ACM,setup,0,136,136,0.07267524427899556,0.07267524427899556,1,0,normal
14,14,0,IAM,IAM,setup,0,240,240,0.0,0.0,19,0,missing_anm
14,14,1,ACM,ACM,setup,0,158,158,0.08336904524710297,0.08336904524710297,9,0,missing_anm
