src_ip,dst_ip,src_port,dst_port,packet_count,flow_duration,avg_packet_size,iat_mean,total_bytes
192.168.1.20,192.168.1.32,32442,80,11,1.206119,282.90909090909093,0.1206119,3112
192.168.1.35,192.168.1.12,32442,80,17,0.7415370000000001,446.52941176470586,0.04634606250000001,7591
192.168.1.95,192.168.1.57,32442,80,11,0.7170820000000002,262.0,0.07170820000000003,2882
192.168.1.4,192.168.1.19,32442,80,5,0.06905899999999976,40.0,0.01726474999999994,200
192.168.1.7,192.168.1.78,32442,80,25,0.7357130000000001,618.72,0.030654708333333336,15468
192.168.1.72,192.168.1.95,32442,80,9,0.3408880000000001,308.1111111111111,0.04261100000000001,2773
192.168.1.20,192.168.1.92,32442,80,9,1.279109,233.88888888888889,0.159888625,2105
192.168.1.31,192.168.1.80,32442,80,50,1.0036800000000001,189.1,0.02048326530612245,9455
192.168.1.23,192.168.1.63,32442,80,11,1.1818439999999981,286.27272727272725,0.11818439999999981,3149
192.168.1.88,192.168.1.19,32442,80,11,0.5348190000000024,375.1818181818182,0.053481900000000235,4127
192.168.1.31,192.168.1.26,32442,80,11,1.1226620000000018,226.9090909090909,0.11226620000000018,2496
192.168.1.56,192.168.1.39,32442,80,11,0.6519189999999995,235.72727272727272,0.06519189999999994,2593
192.168.1.98,192.168.1.85,32442,80,16,0.9348659999999995,385.8125,0.06232439999999997,6173
192.168.1.40,192.168.1.42,32442,80,35,1.1093989999999998,591.2857142857143,0.03262938235294117,20695
192.168.1.78,192.168.1.20,32442,80,7,0.21505200000000002,135.42857142857142,0.035842000000000006,948
192.168.1.83,192.168.1.87,32442,80,11,0.3512449999999987,264.27272727272725,0.03512449999999987,2907
192.168.1.58,192.168.1.21,32442,80,7,0.2127820000000007,105.28571428571429,0.03546366666666678,737
192.168.1.94,192.168.1.57,32442,80,7,0.24753499999999917,225.0,0.04125583333333319,1575
192.168.1.70,192.168.1.25,32442,80,7,0.195808999999997,162.57142857142858,0.032634833333332836,1138
192.168.1.73,192.168.1.27,32442,80,7,0.21145100000000028,106.71428571428571,0.03524183333333338,747
192.168.1.98,192.168.1.29,32442,80,15,0.8399740000000016,287.1333333333333,0.059998142857142965,4307
192.168.1.79,192.168.1.75,32442,80,13,0.4802299999999988,257.46153846153845,0.04001916666666657,3347
192.168.1.92,192.168.1.6,32442,80,5,0.03499100000000155,40.0,0.008747750000000387,200
192.168.1.44,192.168.1.66,32442,80,5,0.03580699999999837,40.0,0.008951749999999592,200
192.168.1.77,192.168.1.2,32442,80,7,0.18304200000000037,135.71428571428572,0.030507000000000062,950
192.168.1.48,192.168.1.46,32442,80,7,0.23871100000000212,248.57142857142858,0.03978516666666702,1740
